1;Willkommen;Benvenuto;Bienvenue
2;Noten;Valutazioni;Notes
3;ALS;SAL;STA
4;Benutzer;Accessi utilizzatori;Service accès utilisateurs
5;Dashboard;Dashboard;Tableau de bord
6;Fachvortrag;Presentazione tecnica del ramo;Exposé de branche
7;Leistungslohn;Salario alla performance;Salaire à la performance
8;Malus;Malus;Malus
9;PE;UP;UF
10;STAO;Punto della situazione;Point de situation
11;Stundenplan;Tabella orario;Plan horaire
12;Termine;Gestione dei colloqui;Gestion des rendez-vous
13;Verhaltensziele;Obiettivi di comportamento;Objectif de comportement
14;ÜK-KN CYP;;
15;Navigation bearbeiten;Modifica di navigazione;Modification de navigazion
16;Einstellungen;Parametri;Paramètres
17;Einträge anzeigen;Mostrare iscrizioni;Afficher inscriptions
18;ALS-Titel;Titolo SAL;Titre STA
19;Punktzahl;Punteggio;Nombre de points
20;Lernende/r;Apprendista;Apprenti/e
21;Typ;Tipo;Type
22;Erstellungsdatum;Data di elaborazione;Date d'établissement
23;bis;Fino;jusqu'au
24;von;dal;du
25;Einträgen;Iscrizioni;Inscriptions
26;Zurück;Indietro;Retour
27;Nächste;Prossimo;Prochain
28;Suchen;Cercare;Chercher
29;Eintrag beanstanden;Entrata contestata;Entrée contestée
30;Begründung;Giustificazione;Justification
31;Abschicken;Inviare;Envoyer
32;Abschicken & Eintrag löschen;Inviare e cancellare l'iscrizione;Envoyer et effacer inscription
33;Abbrechen;Interrompere;Interrompre
34;Beim Abschicken werden die verantwortlichen Personen per E-Mail benachrichtigt, um den Eintrag zu überprüfen;Con l'invio, i responsabili saranno informati per e-mail per la verifica dell'iscrizione;Lors de l'envoi, les personnes responsables seront informées par e-mail afin de vérifier l'inscription
35;Diese Punktzahlen sind Leistungslohnrelevant. Bitte achte auf die Korrektheit deiner Einträge, es können Stichproben durchgeführt werden;Il punteggio influenza il salario alla performance. Verifichi l'esattezza delle iscrizioni dei sondaggi possono essere realizzati;Le nombre de points influence le salaire à la performance. Vérifiez l'exactitude de vos inscriptions des sondages peuvent être réalisés
36;ALS-Leistungsziele;Obiettivi di performance SAL;Objectifs de performance STA
37;ALS-Verhaltensziele;Obiettivi di comportamento SAL;Objectifs de comportement STA
38;Semester;Semestre;Semestre
39;Eintrag hinzufügen;Inserire un'iscrizione;Insérer une inscription
40;Gruppe;Gruppo;Groupe
41;Vorname;Nome;Prénom
42;Nachname;Cognome;Nom
43;Benutzer hinzufügen;Aggiungere un utente;Ajouter un utilisateur
44;Hinzufügen;Aggiungere;Ajouter
45;Fachvortrag-Titel;Titolo della presentazione;Titre de l'exposé
46;Lernende;Apprendista;Apprenti/e
47;Lohnzyklus;Ciclo del salario;Cycle de salaire
48;Jahr;Anno;Année
49;Gewichtung;Ponderazione;Pondération
50;Definierte Werte;Valore definito;Valeur définie
51;Neuen Malus eintragen;Aggiungere un nuovo Malus;Ajouter un nouveau Malus
52;Notenschnitt;Media dei voti scolastici;Moyenne des notes
53;Ungenügende Noten;Voti insufficienti;Notes insuffisantes
54;Fächer/Module;Ramo/Modulo;Branche/Module
55;Titel;Titolo;Titre
56;Note;Voto scolastico;Note
57;Datum;Data;Date
58;Fach löschen;Cancellare ramo;Effacer branche
59;Schulfach;Materia;Branche scolaire
60;Informatik-Modul;Modulo informatico;Module informatique
61;Noch keine Noten vorhanden;Nessun voto disponibile;Aucune note disponible
62;Fach;Ramo;Branche
63;Neues Fach hinzufügen;Aggiungere un nuovo ramo;Ajouter une nouvelle branche
64;PE-Titel;Titolo UP;Titre UF
65;Prozesseinheit;Unità procedurale;Unité de formation
66;STAO-Titel;Titolo punto di situazione;Titre point de situation
67;Punkte;Punteggio;Points
68;Prozentrechner;Calcolatore della percentuale;Calculateur de pourcents
69;Erreichte Punktzahl;Punteggio raggiunto;Nombre de points atteint
70;Maximale Punktzahl;Punteggio massimo;Nombre de points maximal
71;Berechnen;Calcolare;Calculer
72;Stundenpläne;Orari;Plan horaire
73;Vorherige Woche;Settimana precedente;Semaine précédente
74;Nächste Woche;Settimana seguente;Semaine suivante
75;Kalenderwoche;Calendario settimanale;Semaine de calendrier
76;Klassenauswahl;Scelta della classe;Choix de la classe
77;Klasse speichern;Registrare classe;Sauvegarder classe
78;Bevorstehende Termine;Prossimo colloquio;Prochain rendez-vous
79;Vergangene Termine;Colloquio precedente;Rendez-vous précédent
80;Ablaufdatum;Data di scadenza;Date d'expiration
81;Termine bearbeiten;Modificare colloquio;Modifier les rendez-vous
82;Beschreibung;Descrizione;Description
83;Deadline;Scadenza;Date butoir
84;Stage;Stage;Stage
85;PA;Maestro di pratica;Formateur pratique
86;Keine Daten in der Tabelle vorhanden;Nessun dato disponibile nella tabella;Aucune donnée disponible dans le tableau
87;Keine Einträge vorhanden;Nessuna iscrizione disponibile;Aucune inscription disponible
88;Erste;Primo;Premier
89;Letzte;Ultimo;Dernier
90;Leistungsziele;Obiettivi di performance;Objectifs de performance
91;Keine Semester vorhanden;Nessun semestre disponibile;Aucun semestre disponible
92;Es können Stichproben durchgeführt werden;Degli sondaggi possono essere effettuati;Des sondages peuvent être effectués
93;Sind alle Angaben korrekt? Du kannst den Eintrag nach dem Bestätigen nicht mehr bearbeiten;Tutti i dati sono corretti? Dopo la conferma, non sarà più possibile modificare;Toutes les données sont correctes ? Après confirmation, il ne sera plus possible effectuer de modifications.
94;Ihr Account wurde keiner Gruppe zugewiesen, oder Ihnen fehlen Rechte;Il conto non può essere attribuito ad un gruppo, o mancano le autorizzazioni d'accesso;Votre compte n'a pas pu être attribué à un groupe, ou les autorisations d'accès manquent
95;Fehler;Errore;Erreur
96;Eintrag löschen;Cancellare iscrizione;Effacer inscription
97;Benutzer löschen;Cancellare utente;Effacer utilisateur
98;Bitte bestätigen Sie ihre auswahl;Pregasi confermare scelta;Veuillez confirmer votre choix
99;Bestätigen;Confermare;Confirmer
100;Keine Daten gefunden;Nessun dato disponibile;Aucune donnée disponible
101;Änderungen wurden gespeichert;Le modifiche sono state registrate;Les modifications ont été sauvegardées
102;Benutzer wurde hinzugefügt;Un utente è stato aggiunto;Un utilisateur a été ajouté
103;Eintrag wurde hinzugefügt;Un'iscrizione è stata aggiunta;Une inscription a été ajoutée
104;Keine Lernende im System;Nessun apprendista nel sistema;Aucun apprenti dans le système
105;Noch keine Einträge;Nessuna iscrizione;Pas encore d'inscription
106;CSV-Export;CSV-Export;CSV-Export
107;Keine Noten gefunden;Nessun voto trovato;Aucune note trouvée
108;Keine Fächer gefunden;Nessun ramo trovato;Aucune branche trouvée
109;in %;in %;en %
110;Begründung für Note unter 4.0;Giustificazione per un voto sotto 4.0;Justification pour note en-dessous de 4.0
112;Noch keine Fächer vorhanden;Nessun ramo ancora disponibile;Encore aucune branche disponible
113;Zählt in Semester;Conteggio nel semestre;Compte dans le semestre
114;Fach/Modul;Ramo/Modulo;Branche/Module
115;ungenügende;Insufficiente;Insuffisant
116;Korrektur;Correzione;Correction
117;IT-Modul;Modulo IT;Module-IT
